Filename;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId;Width;Height
00120.jpg;58;243;164;345;2;1360;800
00121.jpg;91;308;185;416;7;1360;800
00122.jpg;500;496;521;518;7;1360;800
00122.jpg;883;498;904;520;7;1360;800
00123.jpg;519;492;550;524;7;1360;800
00123.jpg;1101;483;1133;516;7;1360;800
00124.jpg;532;481;558;507;4;1360;800
00124.jpg;976;470;1002;496;4;1360;800
00125.jpg;1019;313;1106;401;2;1360;800
00126.jpg;840;374;868;404;2;1360;800
00126.jpg;379;365;411;396;2;1360;800
00127.jpg;138;385;175;423;5;1360;800
00127.jpg;1009;380;1046;417;5;1360;800
00130.jpg;209;426;236;453;1;1360;800
00130.jpg;601;431;626;456;1;1360;800
00131.jpg;474;389;500;415;1;1360;800
00134.jpg;1008;299;1073;365;1;1360;800
00135.jpg;718;298;777;356;1;1360;800
00141.jpg;857;379;894;416;2;1360;800
00142.jpg;816;454;835;473;2;1360;800
00144.jpg;708;445;727;464;4;1360;800
00146.jpg;711;427;729;445;2;1360;800
00149.jpg;1131;274;1221;361;4;1360;800
00150.jpg;824;345;865;386;2;1360;800
00151.jpg;794;372;824;401;1;1360;800
00165.jpg;382;412;399;431;1;1360;800
00166.jpg;814;382;848;416;1;1360;800
00167.jpg;369;446;392;469;2;1360;800
00167.jpg;729;433;750;455;2;1360;800
00169.jpg;1089;153;1212;276;2;1360;800
00170.jpg;912;322;944;358;4;1360;800
00171.jpg;882;335;932;385;4;1360;800
00172.jpg;718;418;737;437;1;1360;800
00173.jpg;1111;279;1161;329;1;1360;800
00174.jpg;723;443;747;467;2;1360;800
00176.jpg;850;414;875;440;2;1360;800
00178.jpg;728;456;748;476;2;1360;800
00180.jpg;968;384;1004;421;2;1360;800
00181.jpg;793;299;853;359;4;1360;800
00182.jpg;656;412;685;441;2;1360;800
00184.jpg;790;273;850;334;1;1360;800
00185.jpg;967;150;1076;257;2;1360;800
00186.jpg;603;455;621;474;4;1360;800
00186.jpg;325;428;345;448;4;1360;800
00187.jpg;675;405;709;439;2;1360;800
00187.jpg;161;393;194;428;2;1360;800
00192.jpg;314;440;334;461;1;1360;800
00203.jpg;758;375;784;400;0;1360;800
00204.jpg;858;151;946;242;1;1360;800
00216.jpg;312;442;337;467;5;1360;800
00216.jpg;886;446;911;472;5;1360;800
00217.jpg;971;267;1031;328;1;1360;800
00220.jpg;1127;285;1168;326;1;1360;800
00222.jpg;985;354;1022;390;1;1360;800
00223.jpg;816;334;858;374;1;1360;800
00224.jpg;923;276;977;341;1;1360;800
00225.jpg;856;268;924;334;1;1360;800
00226.jpg;1152;224;1220;290;1;1360;800
00228.jpg;937;295;998;356;1;1360;800
00229.jpg;1273;384;1305;417;1;1360;800
00230.jpg;974;398;1002;426;1;1360;800
00231.jpg;1146;362;1183;399;1;1360;800
00234.jpg;1051;275;1115;338;1;1360;800
00238.jpg;849;443;877;471;1;1360;800
00239.jpg;792;439;812;458;1;1360;800
00240.jpg;847;364;879;396;1;1360;800
00241.jpg;838;400;880;442;2;1360;800
00243.jpg;843;447;867;470;2;1360;800
00247.jpg;471;453;492;474;5;1360;800
00247.jpg;856;448;877;469;5;1360;800
00248.jpg;204;452;229;479;5;1360;800
00248.jpg;843;429;870;456;5;1360;800
00249.jpg;1212;419;1244;452;2;1360;800
00250.jpg;907;446;932;471;2;1360;800
00252.jpg;910;326;956;372;1;1360;800
00254.jpg;1172;270;1237;336;2;1360;800
00259.jpg;1202;329;1247;374;1;1360;800
00260.jpg;720;266;784;330;0;1360;800
00263.jpg;646;417;666;437;2;1360;800
00264.jpg;964;412;988;435;4;1360;800
00265.jpg;805;458;827;480;1;1360;800
00268.jpg;891;396;917;422;2;1360;800
00270.jpg;243;335;293;386;2;1360;800
00270.jpg;1237;279;1291;332;2;1360;800
00271.jpg;259;369;297;408;2;1360;800
00271.jpg;1090;341;1130;381;2;1360;800
00274.jpg;975;395;1011;430;0;1360;800
00280.jpg;1054;392;1083;422;2;1360;800
00281.jpg;984;392;1017;425;2;1360;800
00283.jpg;1177;114;1284;219;4;1360;800
00284.jpg;993;347;1051;404;2;1360;800
00287.jpg;1113;370;1154;411;2;1360;800
00288.jpg;413;456;436;479;5;1360;800
00288.jpg;983;438;1006;462;5;1360;800
00289.jpg;285;401;326;444;6;1360;800
00289.jpg;1282;379;1326;424;6;1360;800
00290.jpg;1294;391;1326;428;5;1360;800
00291.jpg;1129;384;1165;422;3;1360;800
00292.jpg;982;422;1011;451;8;1360;800
00292.jpg;315;447;345;476;8;1360;800
00293.jpg;28;410;70;456;7;1360;800
00293.jpg;1143;365;1193;415;7;1360;800
00295.jpg;1227;364;1272;411;6;1360;800
00295.jpg;98;417;142;463;6;1360;800
00296.jpg;460;409;492;442;7;1360;800
00296.jpg;1237;385;1269;417;7;1360;800
00298.jpg;1238;256;1314;331;2;1360;800
00300.jpg;779;420;801;443;2;1360;800
00301.jpg;1075;318;1125;368;2;1360;800
00303.jpg;1186;385;1215;414;2;1360;800
00309.jpg;180;388;220;431;7;1360;800
00309.jpg;1159;353;1203;398;7;1360;800
00311.jpg;616;424;650;458;8;1360;800
00311.jpg;1295;391;1329;425;8;1360;800
00312.jpg;122;267;225;379;5;1360;800
00313.jpg;369;414;424;470;6;1360;800
00314.jpg;1213;398;1247;434;5;1360;800
00314.jpg;396;451;429;485;5;1360;800
00315.jpg;1267;373;1310;419;6;1360;800
00315.jpg;172;414;213;462;6;1360;800
00316.jpg;696;436;719;458;3;1360;800
00316.jpg;995;421;1020;445;3;1360;800
00317.jpg;1122;378;1166;421;32;1360;800
00319.jpg;1201;403;1248;450;3;1360;800
00319.jpg;569;436;612;481;3;1360;800
00320.jpg;175;438;202;466;32;1360;800
00320.jpg;921;403;951;434;32;1360;800
00322.jpg;1166;327;1209;370;5;1360;800
00322.jpg;338;406;381;449;5;1360;800
00330.jpg;1050;313;1116;381;2;1360;800
00334.jpg;760;435;797;472;2;1360;800
00338.jpg;505;425;536;453;2;1360;800
00338.jpg;1000;426;1029;453;2;1360;800
00339.jpg;627;442;660;476;1;1360;800
00346.jpg;291;541;321;571;5;1360;800
00346.jpg;883;542;911;570;5;1360;800
00348.jpg;952;524;990;562;5;1360;800
00351.jpg;511;533;538;560;5;1360;800
00352.jpg;969;549;996;576;6;1360;800
00352.jpg;528;553;555;580;6;1360;800
00358.jpg;316;490;374;549;8;1360;800
00359.jpg;879;559;903;583;8;1360;800
00359.jpg;467;560;492;585;8;1360;800
00360.jpg;1032;484;1076;528;8;1360;800
00360.jpg;253;502;296;545;8;1360;800
00363.jpg;407;483;450;526;8;1360;800
00366.jpg;517;530;540;553;8;1360;800
00366.jpg;988;550;1014;573;8;1360;800
00367.jpg;1028;501;1068;541;8;1360;800
00367.jpg;230;488;274;530;8;1360;800
00368.jpg;382;460;431;510;8;1360;800
00369.jpg;521;544;542;564;8;1360;800
00369.jpg;874;532;895;551;8;1360;800
00370.jpg;880;536;904;559;8;1360;800
00370.jpg;440;531;467;554;8;1360;800
00371.jpg;316;521;372;577;5;1360;800
00372.jpg;974;486;1017;529;4;1360;800
00373.jpg;164;517;195;548;4;1360;800
00373.jpg;819;511;853;545;4;1360;800
00376.jpg;266;487;309;530;6;1360;800
00376.jpg;989;510;1031;552;6;1360;800
00377.jpg;1133;504;1172;543;8;1360;800
00377.jpg;239;490;278;531;8;1360;800
00378.jpg;22;242;145;362;8;1360;800
00379.jpg;186;458;232;504;8;1360;800
00379.jpg;1062;442;1109;489;8;1360;800
00380.jpg;952;540;975;563;8;1360;800
00380.jpg;551;535;575;559;8;1360;800
00382.jpg;445;490;485;530;8;1360;800
00382.jpg;1209;496;1248;535;8;1360;800
00384.jpg;1199;416;1263;480;8;1360;800
00385.jpg;977;529;1016;568;8;1360;800
00385.jpg;267;531;307;571;8;1360;800
00390.jpg;455;502;503;550;8;1360;800
00390.jpg;1219;494;1265;541;8;1360;800
00391.jpg;1260;502;1304;551;6;1360;800
00391.jpg;198;508;247;558;6;1360;800
00392.jpg;358;443;423;512;7;1360;800
00395.jpg;201;519;241;561;6;1360;800
00395.jpg;903;519;938;555;6;1360;800
00396.jpg;192;484;238;531;7;1360;800
00396.jpg;998;468;1046;516;7;1360;800
00397.jpg;947;524;982;559;4;1360;800
00398.jpg;771;538;795;560;4;1360;800
00401.jpg;420;496;461;537;4;1360;800
00401.jpg;1122;497;1163;538;4;1360;800
00403.jpg;568;540;592;564;4;1360;800
00403.jpg;939;532;965;559;4;1360;800
00404.jpg;335;415;396;476;4;1360;800
00404.jpg;1255;415;1312;472;4;1360;800
00405.jpg;1255;470;1309;525;4;1360;800
00405.jpg;355;444;411;499;4;1360;800
00412.jpg;1002;499;1047;545;7;1360;800
00413.jpg;1038;480;1084;529;3;1360;800
00414.jpg;1032;421;1078;468;3;1360;800
00416.jpg;813;505;851;543;3;1360;800
00418.jpg;460;563;482;585;8;1360;800
00419.jpg;979;489;1025;537;7;1360;800
00420.jpg;828;542;851;565;3;1360;800
00420.jpg;361;548;383;570;3;1360;800
00425.jpg;302;503;342;543;5;1360;800
00425.jpg;900;500;941;541;5;1360;800
00427.jpg;294;383;388;479;5;1360;800
00428.jpg;325;548;353;576;7;1360;800
00428.jpg;937;543;966;572;7;1360;800
00431.jpg;275;527;314;564;8;1360;800
00431.jpg;1141;496;1179;536;8;1360;800
00432.jpg;237;560;263;586;8;1360;800
00432.jpg;942;512;970;540;8;1360;800
00434.jpg;167;194;257;286;5;1360;800
00436.jpg;794;531;816;553;5;1360;800
00439.jpg;1194;504;1251;564;8;1360;800
00441.jpg;1063;531;1112;580;8;1360;800
00443.jpg;823;579;843;598;8;1360;800
00443.jpg;477;578;497;596;8;1360;800
00444.jpg;389;569;419;600;7;1360;800
00444.jpg;972;572;1001;601;7;1360;800
00445.jpg;1021;498;1066;544;5;1360;800
00445.jpg;213;519;254;561;5;1360;800
00456.jpg;421;414;476;470;3;1360;800
00457.jpg;1243;418;1301;475;2;1360;800
00457.jpg;517;466;554;504;2;1360;800
00459.jpg;884;548;909;573;1;1360;800
00467.jpg;1132;501;1168;537;3;1360;800
00468.jpg;1128;506;1165;544;3;1360;800
00470.jpg;823;489;847;513;1;1360;800
00474.jpg;1242;549;1274;581;7;1360;800
00474.jpg;514;569;545;600;7;1360;800
00475.jpg;1233;468;1310;543;7;1360;800
00476.jpg;163;518;199;555;7;1360;800
00476.jpg;1152;523;1187;558;7;1360;800
00477.jpg;298;506;338;546;5;1360;800
00478.jpg;921;470;963;512;5;1360;800
00478.jpg;218;483;258;523;5;1360;800
00480.jpg;1055;444;1103;492;2;1360;800
00483.jpg;150;510;203;563;7;1360;800
00483.jpg;1182;531;1232;583;7;1360;800
00486.jpg;410;519;465;574;7;1360;800
00494.jpg;1113;300;1211;395;1;1360;800
00496.jpg;511;494;552;536;8;1360;800
00500.jpg;952;499;1000;546;5;1360;800
00501.jpg;943;557;962;577;4;1360;800
00501.jpg;610;558;628;577;4;1360;800
00512.jpg;230;486;270;522;5;1360;800
00512.jpg;1139;490;1179;530;5;1360;800
00513.jpg;142;501;197;556;7;1360;800
00515.jpg;257;361;333;435;3;1360;800
00518.jpg;451;526;499;574;7;1360;800
00519.jpg;454;531;507;584;7;1360;800
00521.jpg;377;574;405;604;7;1360;800
00521.jpg;946;565;976;595;7;1360;800
00524.jpg;187;530;241;584;7;1360;800
00524.jpg;1219;528;1271;580;7;1360;800
00528.jpg;985;339;1026;380;7;1360;800
00528.jpg;166;415;205;455;7;1360;800
00544.jpg;744;438;762;458;1;1360;800
00552.jpg;537;512;554;529;8;1360;800
00552.jpg;814;508;832;526;8;1360;800
00560.jpg;1039;173;1099;233;3;1360;800
00601.jpg;82;450;145;508;7;1360;800
00602.jpg;1268;555;1299;586;8;1360;800
00602.jpg;443;543;474;574;8;1360;800
00605.jpg;167;511;206;550;4;1360;800
00605.jpg;846;501;881;535;4;1360;800
00609.jpg;809;507;841;539;4;1360;800
00609.jpg;310;512;343;546;4;1360;800
00610.jpg;917;553;938;574;4;1360;800
00611.jpg;839;488;872;521;4;1360;800
00613.jpg;1132;561;1169;598;5;1360;800
00613.jpg;478;546;513;581;5;1360;800
00615.jpg;890;572;918;600;8;1360;800
00615.jpg;386;571;413;600;8;1360;800
00616.jpg;437;558;463;584;32;1360;800
00616.jpg;876;541;904;569;32;1360;800
00621.jpg;782;443;808;469;4;1360;800
00623.jpg;974;374;1034;434;4;1360;800
00624.jpg;821;464;845;488;2;1360;800
00625.jpg;1037;377;1102;443;2;1360;800
00626.jpg;857;404;895;442;2;1360;800
00628.jpg;998;276;1085;363;32;1360;800
00630.jpg;1219;315;1285;385;4;1360;800
00631.jpg;799;478;834;512;4;1360;800
00632.jpg;101;379;147;424;1;1360;800
00634.jpg;525;371;570;416;2;1360;800
00638.jpg;914;374;953;414;1;1360;800
00640.jpg;1105;353;1176;424;4;1360;800
00645.jpg;1034;311;1090;367;1;1360;800
00651.jpg;800;404;851;456;1;1360;800
00659.jpg;993;430;1033;470;2;1360;800
00661.jpg;1138;401;1169;430;2;1360;800
00664.jpg;849;437;880;468;4;1360;800
00665.jpg;557;471;579;493;4;1360;800
00667.jpg;737;444;764;471;4;1360;800
00668.jpg;1083;254;1172;340;2;1360;800
00669.jpg;899;393;949;444;4;1360;800
00670.jpg;997;306;1064;373;4;1360;800
00671.jpg;846;393;883;430;2;1360;800
00674.jpg;717;371;751;405;1;1360;800
00680.jpg;900;394;953;448;1;1360;800
00681.jpg;820;434;846;460;1;1360;800
00686.jpg;377;437;412;474;5;1360;800
00690.jpg;775;506;799;529;4;1360;800
00691.jpg;885;492;907;514;4;1360;800
00691.jpg;469;490;490;512;4;1360;800
00693.jpg;984;383;1024;423;3;1360;800
00698.jpg;737;413;765;442;1;1360;800
00699.jpg;727;413;756;443;1;1360;800
00701.jpg;1042;396;1088;442;2;1360;800
00703.jpg;1001;360;1042;401;1;1360;800
00704.jpg;766;411;793;438;2;1360;800
00705.jpg;955;343;991;378;1;1360;800
00706.jpg;866;371;899;402;1;1360;800
00707.jpg;907;383;943;419;4;1360;800
00710.jpg;1084;201;1164;283;2;1360;800
00714.jpg;784;313;828;357;1;1360;800
00716.jpg;820;335;869;386;4;1360;800
00717.jpg;835;435;859;459;4;1360;800
00719.jpg;933;390;969;427;2;1360;800
00720.jpg;737;429;756;448;2;1360;800
00723.jpg;696;424;717;446;4;1360;800
00729.jpg;536;489;570;523;3;1360;800
00730.jpg;466;443;512;490;3;1360;800
00730.jpg;1053;517;1083;547;3;1360;800
00733.jpg;508;426;543;462;4;1360;800
00733.jpg;937;523;965;551;4;1360;800
00734.jpg;1090;450;1166;528;3;1360;800
00740.jpg;1163;510;1213;560;5;1360;800
00740.jpg;489;513;534;558;5;1360;800
00742.jpg;334;562;368;596;7;1360;800
00742.jpg;960;554;995;587;7;1360;800
00746.jpg;1135;492;1181;537;8;1360;800
00746.jpg;235;469;281;515;8;1360;800
00747.jpg;298;489;345;538;6;1360;800
00747.jpg;1148;506;1196;553;6;1360;800
00749.jpg;301;551;346;596;5;1360;800
00749.jpg;1153;546;1200;593;5;1360;800
00752.jpg;934;448;979;494;1;1360;800
00755.jpg;852;518;883;549;1;1360;800
00758.jpg;982;521;1014;553;8;1360;800
00758.jpg;374;515;406;547;8;1360;800
00760.jpg;591;538;616;563;8;1360;800
00760.jpg;1023;542;1049;569;8;1360;800
00773.jpg;879;514;903;538;1;1360;800
00774.jpg;929;516;961;548;1;1360;800
00775.jpg;884;483;930;529;1;1360;800
00776.jpg;861;505;893;537;1;1360;800
00777.jpg;834;526;858;550;1;1360;800
00780.jpg;1165;572;1227;636;3;1360;800
00780.jpg;380;557;444;621;3;1360;800
00791.jpg;985;412;1062;489;4;1360;800
00798.jpg;786;545;806;565;2;1360;800
00802.jpg;610;267;683;336;1;1360;800
00803.jpg;771;232;835;295;1;1360;800
00806.jpg;807;407;832;432;1;1360;800
00821.jpg;859;444;882;466;5;1360;800
00821.jpg;333;442;356;466;5;1360;800
00825.jpg;1083;378;1108;404;1;1360;800
00829.jpg;553;399;576;422;1;1360;800
00831.jpg;975;371;1014;410;1;1360;800
00833.jpg;776;332;822;378;1;1360;800
00834.jpg;1130;264;1187;325;1;1360;800
00838.jpg;1068;382;1097;411;2;1360;800
00838.jpg;443;419;470;446;2;1360;800
00839.jpg;1234;297;1279;342;2;1360;800
00839.jpg;303;365;346;409;2;1360;800
00846.jpg;374;383;409;418;2;1360;800
00846.jpg;1091;348;1128;385;2;1360;800
00848.jpg;982;241;1054;313;1;1360;800
00850.jpg;973;373;1005;405;1;1360;800
00851.jpg;1092;312;1147;367;1;1360;800
00854.jpg;1182;254;1255;327;2;1360;800
00860.jpg;1077;144;1168;231;2;1360;800
00862.jpg;285;425;362;501;7;1360;800
00870.jpg;569;456;590;477;5;1360;800
00870.jpg;1030;441;1050;461;5;1360;800
00871.jpg;375;407;411;443;5;1360;800
00871.jpg;1273;381;1313;421;5;1360;800
00876.jpg;466;469;491;494;3;1360;800
00876.jpg;776;477;796;497;3;1360;800
00879.jpg;301;535;341;575;32;1360;800
00879.jpg;988;506;1029;547;32;1360;800
00881.jpg;1131;561;1168;598;5;1360;800
00881.jpg;478;546;513;581;5;1360;800
00882.jpg;244;546;317;617;5;1360;800
00884.jpg;855;477;890;512;4;1360;800
00886.jpg;815;517;838;540;4;1360;800
00889.jpg;689;530;713;554;4;1360;800
00891.jpg;747;551;767;571;4;1360;800
00891.jpg;473;556;493;576;4;1360;800
00894.jpg;389;527;417;555;4;1360;800
00894.jpg;1093;529;1132;568;4;1360;800
00895.jpg;193;482;238;527;4;1360;800
00895.jpg;966;418;1014;466;4;1360;800
00898.jpg;323;504;355;536;4;1360;800
00898.jpg;817;510;849;542;4;1360;800
